id,user,uid,version,changeset,timestamp
4181745,samsung galaxy s6,3691120,14,49467378,2017-06-12T12:26:22Z
4182605,Zolo,566149,21,43600432,2016-11-13T10:02:19Z
4187007,小智智,1870014,9,43872461,2016-11-22T14:54:37Z
4195000,4nt0n1n,1958391,11,21096786,2014-03-14T10:21:22Z
4338869,burtlang,4471944,33,48625204,2017-05-12T13:56:39Z
4338940,Bryce C Nesbitt,355242,21,28696827,2015-02-08T07:20:28Z
4338992,garylancelot,3544143,22,48573630,2017-05-10T20:25:49Z
4339014,garylancelot,3544143,24,48573821,2017-05-10T20:34:00Z
4339096,ulfl,6975,2,415781,2008-07-06T20:18:03Z
4339370,moloi,397321,5,7134835,2011-01-30T15:34:52Z
4793007,garylancelot,3544143,53,47585215,2017-04-09T06:44:45Z
4967520,avinyulau,3522027,3,36674514,2016-01-19T08:43:56Z
4974770,Nautic,449569,7,14306259,2012-12-17T13:38:12Z
4977400,Wrightbus,261189,5,38062723,2016-03-25T13:19:25Z
4977404,Christophe9791,3119547,5,34018722,2015-09-14T11:44:49Z
5020531,Baconcrisp,3778777,24,48602609,2017-05-11T19:33:39Z
5020536,Baconcrisp,3778777,16,48630704,2017-05-12T17:58:29Z
5020538,Baconcrisp,3778777,25,48606958,2017-05-11T22:32:38Z
5020555,hlaw,169827,11,10596509,2012-02-05T18:16:53Z
5105324,Baconcrisp,3778777,13,48627844,2017-05-12T15:43:03Z
5105349,小智智,1870014,10,44337558,2016-12-12T05:57:20Z
5108613,cartogram,6095772,24,51515660,2017-08-28T16:38:31Z
5108618,jc86035,1242214,6,39034199,2016-05-02T09:50:08Z
6075641,hlaw,169827,5,28499145,2015-01-30T06:36:07Z
6075662,Philip C,3306940,4,43281257,2016-10-30T11:06:39Z
6075911,minghong,541214,7,43692170,2016-11-16T08:36:13Z
6076409,00crashtest,3569951,10,43665845,2016-11-15T09:54:57Z
9559553,eversone,4618964,10,42656707,2016-10-05T12:47:30Z
9559656,Heptazane,23762,6,19753112,2014-01-01T21:27:38Z
9559973,HelioFelix,1787380,9,41398165,2016-08-11T21:13:22Z
9560427,coloursofdiscovery,449630,7,44207665,2016-12-06T12:06:48Z
9561017,Plutocrat,22031,3,2072037,2009-08-08T07:37:07Z
9561376,gohikinghk_blogspot,2300435,54,47642658,2017-04-11T01:04:35Z
9561865,Mapier,616884,10,36392342,2016-01-05T22:16:45Z
9562017,Esperanza36,83557,86,49019253,2017-05-27T08:34:39Z
9562218,Mapier,616884,7,36407315,2016-01-06T16:23:53Z
9562249,eversone,4618964,39,43430031,2016-11-05T20:47:03Z
9562306,jc86035,1242214,7,25912601,2014-10-07T08:12:57Z
9562331,MichaelCollinson,308,9,25163930,2014-09-01T16:43:18Z
9562410,HelioFelix,1787380,9,18625418,2013-10-30T21:39:01Z
9562565,HelioFelix,1787380,9,18625418,2013-10-30T21:38:49Z
9563084,eversone,4618964,26,42752416,2016-10-09T11:55:13Z
10041729,Mapier,616884,3,12617857,2012-08-05T09:36:35Z
